========== Landscape 评估汇总（按 angle, pitch 组合）==========
方法数量：9

【方法：active】
组合 (angle0, pitch5)：AP@0.5 = 0.7866
组合 (angle20, pitch5)：AP@0.5 = 0.7456
组合 (angle40, pitch5)：AP@0.5 = 0.7952
组合 (angle60, pitch5)：AP@0.5 = 0.8482
组合 (angle80, pitch5)：AP@0.5 = 0.7870
组合 (angle100, pitch5)：AP@0.5 = 0.7722
组合 (angle120, pitch5)：AP@0.5 = 0.7826
组合 (angle140, pitch5)：AP@0.5 = 0.8179
组合 (angle160, pitch5)：AP@0.5 = 0.7301
组合 (angle180, pitch5)：AP@0.5 = 0.8041
组合 (angle200, pitch5)：AP@0.5 = 0.7132
组合 (angle220, pitch5)：AP@0.5 = 0.7491
组合 (angle240, pitch5)：AP@0.5 = 0.3827
组合 (angle260, pitch5)：AP@0.5 = 0.4207
组合 (angle280, pitch5)：AP@0.5 = 0.5949
组合 (angle300, pitch5)：AP@0.5 = 0.2958
组合 (angle320, pitch5)：AP@0.5 = 0.4506
组合 (angle340, pitch5)：AP@0.5 = 0.7955
组合 (angle0, pitch10)：AP@0.5 = 0.7855
组合 (angle20, pitch10)：AP@0.5 = 0.7800
组合 (angle40, pitch10)：AP@0.5 = 0.7177
组合 (angle60, pitch10)：AP@0.5 = 0.7779
组合 (angle80, pitch10)：AP@0.5 = 0.6363
组合 (angle100, pitch10)：AP@0.5 = 0.5521
组合 (angle120, pitch10)：AP@0.5 = 0.8638
组合 (angle140, pitch10)：AP@0.5 = 0.6837
组合 (angle160, pitch10)：AP@0.5 = 0.6920
组合 (angle180, pitch10)：AP@0.5 = 0.6810
组合 (angle200, pitch10)：AP@0.5 = 0.7344
组合 (angle220, pitch10)：AP@0.5 = 0.7785
组合 (angle240, pitch10)：AP@0.5 = 0.3668
组合 (angle260, pitch10)：AP@0.5 = 0.2788
组合 (angle280, pitch10)：AP@0.5 = 0.4442
组合 (angle300, pitch10)：AP@0.5 = 0.1366
组合 (angle320, pitch10)：AP@0.5 = 0.3867
组合 (angle340, pitch10)：AP@0.5 = 0.7186
组合 (angle0, pitch20)：AP@0.5 = 0.6045
组合 (angle20, pitch20)：AP@0.5 = 0.5223
组合 (angle40, pitch20)：AP@0.5 = 0.5517
组合 (angle60, pitch20)：AP@0.5 = 0.6559
组合 (angle80, pitch20)：AP@0.5 = 0.3044
组合 (angle100, pitch20)：AP@0.5 = 0.3854
组合 (angle120, pitch20)：AP@0.5 = 0.7209
组合 (angle140, pitch20)：AP@0.5 = 0.3902
组合 (angle160, pitch20)：AP@0.5 = 0.1651
组合 (angle180, pitch20)：AP@0.5 = 0.3624
组合 (angle200, pitch20)：AP@0.5 = 0.5043
组合 (angle220, pitch20)：AP@0.5 = 0.8013
组合 (angle240, pitch20)：AP@0.5 = 0.2305
组合 (angle260, pitch20)：AP@0.5 = 0.0682
组合 (angle280, pitch20)：AP@0.5 = 0.0732
组合 (angle300, pitch20)：AP@0.5 = 0.0734
组合 (angle320, pitch20)：AP@0.5 = 0.2462
组合 (angle340, pitch20)：AP@0.5 = 0.6224
组合 (angle0, pitch30)：AP@0.5 = 0.2680
组合 (angle20, pitch30)：AP@0.5 = 0.2948
组合 (angle40, pitch30)：AP@0.5 = 0.3247
组合 (angle60, pitch30)：AP@0.5 = 0.3471
组合 (angle80, pitch30)：AP@0.5 = 0.1490
组合 (angle100, pitch30)：AP@0.5 = 0.2387
组合 (angle120, pitch30)：AP@0.5 = 0.2800
组合 (angle140, pitch30)：AP@0.5 = 0.1448
组合 (angle160, pitch30)：AP@0.5 = 0.1041
组合 (angle180, pitch30)：AP@0.5 = 0.0752
组合 (angle200, pitch30)：AP@0.5 = 0.2231
组合 (angle220, pitch30)：AP@0.5 = 0.3612
组合 (angle240, pitch30)：AP@0.5 = 0.0914
组合 (angle260, pitch30)：AP@0.5 = 0.0404
组合 (angle280, pitch30)：AP@0.5 = 0.0389
组合 (angle300, pitch30)：AP@0.5 = 0.0348
组合 (angle320, pitch30)：AP@0.5 = 0.1643
组合 (angle340, pitch30)：AP@0.5 = 0.3716
组合 (angle0, pitch40)：AP@0.5 = 0.3185
组合 (angle20, pitch40)：AP@0.5 = 0.3152
组合 (angle40, pitch40)：AP@0.5 = 0.2302
组合 (angle60, pitch40)：AP@0.5 = 0.2932
组合 (angle80, pitch40)：AP@0.5 = 0.2142
组合 (angle100, pitch40)：AP@0.5 = 0.2231
组合 (angle120, pitch40)：AP@0.5 = 0.1849
组合 (angle140, pitch40)：AP@0.5 = 0.0591
组合 (angle160, pitch40)：AP@0.5 = 0.0407
组合 (angle180, pitch40)：AP@0.5 = 0.0566
组合 (angle200, pitch40)：AP@0.5 = 0.0770
组合 (angle220, pitch40)：AP@0.5 = 0.3638
组合 (angle240, pitch40)：AP@0.5 = 0.0779
组合 (angle260, pitch40)：AP@0.5 = 0.0236
组合 (angle280, pitch40)：AP@0.5 = 0.0174
组合 (angle300, pitch40)：AP@0.5 = 0.0313
组合 (angle320, pitch40)：AP@0.5 = 0.1446
组合 (angle340, pitch40)：AP@0.5 = 0.1546
组合 (angle0, pitch50)：AP@0.5 = 0.2331
组合 (angle20, pitch50)：AP@0.5 = 0.2521
组合 (angle40, pitch50)：AP@0.5 = 0.3032
组合 (angle60, pitch50)：AP@0.5 = 0.2710
组合 (angle80, pitch50)：AP@0.5 = 0.2255
组合 (angle100, pitch50)：AP@0.5 = 0.2287
组合 (angle120, pitch50)：AP@0.5 = 0.3765
组合 (angle140, pitch50)：AP@0.5 = 0.1998
组合 (angle160, pitch50)：AP@0.5 = 0.3105
组合 (angle180, pitch50)：AP@0.5 = 0.2083
组合 (angle200, pitch50)：AP@0.5 = 0.3138
组合 (angle220, pitch50)：AP@0.5 = 0.3204
组合 (angle240, pitch50)：AP@0.5 = 0.0856
组合 (angle260, pitch50)：AP@0.5 = 0.0503
组合 (angle280, pitch50)：AP@0.5 = 0.0420
组合 (angle300, pitch50)：AP@0.5 = 0.1823
组合 (angle320, pitch50)：AP@0.5 = 0.1898
组合 (angle340, pitch50)：AP@0.5 = 0.2001
组合 (angle0, pitch60)：AP@0.5 = 0.2449
组合 (angle20, pitch60)：AP@0.5 = 0.1968
组合 (angle40, pitch60)：AP@0.5 = 0.2443
组合 (angle60, pitch60)：AP@0.5 = 0.2481
组合 (angle80, pitch60)：AP@0.5 = 0.1770
组合 (angle100, pitch60)：AP@0.5 = 0.1682
组合 (angle120, pitch60)：AP@0.5 = 0.2266
组合 (angle140, pitch60)：AP@0.5 = 0.2573
组合 (angle160, pitch60)：AP@0.5 = 0.2467
组合 (angle180, pitch60)：AP@0.5 = 0.1818
组合 (angle200, pitch60)：AP@0.5 = 0.2335
组合 (angle220, pitch60)：AP@0.5 = 0.3063
组合 (angle240, pitch60)：AP@0.5 = 0.2460
组合 (angle260, pitch60)：AP@0.5 = 0.0909
组合 (angle280, pitch60)：AP@0.5 = 0.1308
组合 (angle300, pitch60)：AP@0.5 = 0.1818
组合 (angle320, pitch60)：AP@0.5 = 0.2476
组合 (angle340, pitch60)：AP@0.5 = 0.2476
组合 (angle0, pitch70)：AP@0.5 = 0.2166
组合 (angle20, pitch70)：AP@0.5 = 0.1553
组合 (angle40, pitch70)：AP@0.5 = 0.1621
组合 (angle60, pitch70)：AP@0.5 = 0.1688
组合 (angle80, pitch70)：AP@0.5 = 0.1392
组合 (angle100, pitch70)：AP@0.5 = 0.0478
组合 (angle120, pitch70)：AP@0.5 = 0.1317
组合 (angle140, pitch70)：AP@0.5 = 0.1780
组合 (angle160, pitch70)：AP@0.5 = 0.1761
组合 (angle180, pitch70)：AP@0.5 = 0.1818
组合 (angle200, pitch70)：AP@0.5 = 0.1660
组合 (angle220, pitch70)：AP@0.5 = 0.1818
组合 (angle240, pitch70)：AP@0.5 = 0.1527
组合 (angle260, pitch70)：AP@0.5 = 0.0909
